country,country_code,electricity,forest_area,land_area,gross_domentic_savings,labor_force,trade,gdp,population_growth,population,internet_use
"Korea, Rep.",KOR,100,64.58440888,96850,34.51324547,24279594,71.1843142,8.98137E+11,0.211997784,48184561,73.5
Kosovo,XKX,100,NA,10887,-9.933797318,NA,59.50093363,3663101604,0.067909885,1705780,NA
Kuwait,KWT,100,0.311447822,17820,52.13834612,1172159,92.24346204,80797945205,3.118608063,2270198,25.92610837
Kyrgyz Republic,KGZ,99.44230769,4.532325275,191800,-2.054723922,2311441,95.08400463,2460248026,1.127864459,5162600,10.53380134
Lao PDR,LAO,57.2,73.09233508,230800,20.19291197,2705434,71.79264628,2735558726,1.567736845,5751676,0.85035749
Latvia,LVA,100,53.00983903,62196.00098,20.66146992,1093788,100.8333976,16922504045,-1.080571457,2238799,46
Lebanon,LBN,99.60125732,13.3431085,10230,4.171312818,1512170,93.6223972,21489962080,2.792219198,4698763,10.14
Lesotho,LSO,10.44579601,1.416337286,30360,NA,882524,NA,1682350935,-0.491048834,1996114,2.580245484
Liberia,LBR,NA,46.50124585,96320,-132.7272392,1031421,270.3636143,949000000,2.595928712,3218116,NA
Libya,LBY,90.17337799,0.123327688,1759540,64.23680036,1997897,90.86088969,47334148578,1.537292995,5798614,3.917787977
Liechtenstein,LIE,100,43.1250006,160,NA,NA,NA,3659251526,0.754720564,34713,63.37135615
Lithuania,LTU,100,33.83854499,62680,16.82122199,1553567,114.9169389,26125575942,-1.628401126,3322528,36.22
Luxembourg,LUX,100,35.67901109,2430,46.55163791,207421,297.7729742,37347394603,1.530054663,465158,70
"Macao SAR, China",MAC,100,NA,27.99999952,58.26244942,258002,137.1366339,12092222042,2.359780725,482858,34.86292717
Madagascar,MDG,15.32285976,22.07586752,581540,4.854587035,8782870,73.76518213,5039293031,2.953901101,18336724,0.567721802
Malawi,MWI,6.63094902,36.08400509,94280,-4.110919596,5219611,57.44798438,3655909664,2.600569615,12625952,0.384489334
Malaysia,MYS,NA,63.58240755,328550,44.34009471,10922365,203.8544606,1.43534E+11,1.96526211,25690611,48.62917025
Maldives,MDV,91.087883,3.333333333,300,NA,127203,NA,1163362438,2.645060548,319608,6.869605067
Mali,MLI,17.89640808,4.511592457,1220190,12.73430468,4793276,54.12532578,6245031690,3.233152498,12775516,0.507063136
Malta,MLT,100,1.093749981,320,18.89889345,161288,211.188036,6394851387,0.637436918,403834,41.24
Marshall Islands,MHL,75.97669983,70.22222413,180,-36.56029279,NA,133.1459175,137928600,1.425288859,55258,3.878702398
Mauritania,MRT,18.2,0.259047249,1030700,9.712222774,848344,113.2047887,2184445123,2.84911836,3024194,0.669966475
Mauritius,MUS,98.77565002,18.81773437,2030,17.47037321,544400,123.2460994,6488750454,0.59209966,1228254,15.17222875
Mexico,MEX,98.932728,34.50860362,1943950,20.85030811,44110186,62.35912383,8.77476E+11,1.415822666,106005203,17.21
"Micronesia, Fed. Sts.",FSM,55.5058136,91.41428811,700,NA,NA,91.70603647,250149400,-0.466267049,106129,11.8813691
Moldova,MDA,98.6,11.0367893,32890,-9.87086989,1418023,143.0240661,2988338439,-0.24330723,3595187,14.63027046
Monaco,MCO,100,NA,2,NA,NA,NA,4203084194,1.018674446,33843,55.46482606
Mongolia,MNG,86.2,7.278766189,1553560,32.68586805,1063124,122.3814599,2523471532,1.195877528,2526424,NA
Montenegro,MNE,99.83022071,46.54275093,13450,0.199614985,248285,104.6251393,2257174481,0.147929262,614261,27.1
Morocco,MAR,80.27787781,12.1017253,446300,24.20307123,10670390,67.91485449,62343022651,1.123811218,30455561,15.08444452
Mozambique,MOZ,12.02174759,50.96645388,786380,2.255935412,9542141,76.36774827,7723846195,2.887865831,20493925,0.854357118
Myanmar,MMR,47.4370079,50.999449,653360,NA,23486251,0.273893892,11986972419,0.790533451,48949924,0.065238856
Namibia,NAM,39.66730499,9.305348055,823290,21.3035093,671395,82.34908223,7121391946,1.589970222,1938320,4.010046644
Nauru,NRU,NA,0,20,NA,NA,NA,NA,-0.536682975,9849,NA
Nepal,NPL,46.22322083,25.3644925,143350,11.55565976,13163939,44.06294748,8130258041,1.271055309,25744500,0.826551266
Netherlands,NLD,100,10.81161137,33760,28.91158377,8579461,122.8066577,6.85093E+11,0.233663148,16319868,81
New Caledonia,NCL,100,45.89715536,18280,NA,109635,NA,NA,1.518467354,232250,32.35901475
New Zealand,NZL,100,38.67304698,263310,23.97306935,2178594,58.01874344,1.1472E+11,1.12877351,4133900,62.72021237
Nicaragua,NIC,73.821815,28.78510886,120340,3.02225407,2167272,71.64572371,6321335612,1.36539626,5438690,2.566351177
Niger,NER,7.1,0.999447383,1266700,9.709091921,5492042,47.39546796,3405134832,3.7278624,13624467,0.221341351
Nigeria,NGA,47.18107605,12.17541201,910770,35.19804017,42828205,33.05946007,1.76134E+11,2.585689094,138865016,3.549155718
North Macedonia,MKD,100,38.34054267,25430,3.619746666,886512,85.84100348,6258600714,0.156655294,2060273,26.45
Northern Mariana Islands,MNP,99.95397949,67.69565085,460,NA,NA,174.5523091,1061000000,-1.237404617,56542,NA
Norway,NOR,100,33.10663698,365243.9844,38.59313142,2431376,70.85078398,3.08722E+11,0.681072964,4623291,81.99
Oman,OMN,NA,0.006462036,309500,48.64362815,946780,89.3398042,31081924577,2.652448284,2511251,6.68358142
Pakistan,PAK,70.49060822,2.467310087,770880,15.20695617,49292570,35.25329003,1.09502E+11,2.296422881,160304008,6.332329098
Palau,PLW,98.91650733,87.60869399,460,3.256437039,NA,123.1439923,184677300,-0.433818275,19781,NA
Panama,PAN,85.37091064,64.32606941,74340,22.85850532,1495406,135.6943166,16374393900,1.844444342,3330217,11.48400928
Papua New Guinea,PNG,19.86060333,74.16420086,452860,NA,2410988,NA,4865892972,2.189462195,6494903,1.716190476
Paraguay,PRY,94.686886,46.50138434,397300,31.06840498,2662080,85.02196365,10737500188,1.619245662,5824096,7.907007861
Peru,PER,77.173645,59.00625,1280000,23.62402243,13761026,47.35731748,76060606061,0.871984041,27866145,17.1
Philippines,PHL,80.03903961,23.7247208,298170,15.94582365,33625210,97.8785524,1.03072E+11,1.889366661,86326250,5.397636329
Poland,POL,100,30.03297098,306330,18.84947318,17529374,70.27496093,3.06125E+11,-0.043948953,38165445,38.81
Portugal,PRT,100,36.03367224,91470,14.55394048,5503823,62.57180573,1.97305E+11,0.185532267,10503330,34.99
Puerto Rico,PRI,100,52.18376495,8870,31.91811129,1407002,113.7447947,83914521300,-0.144242361,3821362,23.40005045
Qatar,QAT,100,0,11610,69.74353912,544274,94.74554417,44530494505,13.87016276,865416,24.73349378
Romania,ROU,100,27.78937299,229980,12.64057723,9607668,59.36054945,98452791983,-0.617530957,21319685,21.5
Russian Federation,RUS,100,49.37248915,16381390,33.18668818,74220774,56.71324849,7.64017E+11,-0.381473696,143518523,15.2266732
Rwanda,RWA,4.8,15.60599919,24670,5.782372876,4314973,35.22193469,2685133231,1.822930211,8840215,0.556041165
Samoa,WSM,91.23090363,60.42402827,2830,NA,35755,78.0639849,462649043,0.634635709,179727,3.352592112
San Marino,SMR,100,0,60,NA,NA,NA,1958711603,1.318157216,29324,50.2595642
Sao Tome and Principe,STP,55.92195511,58.33333333,960,NA,50294,NA,136450661.3,2.400431442,157472,13.75948422
Saudi Arabia,SAU,100,0.454484135,2149690,52.32224354,7945226,81.95407594,3.2846E+11,2.911888477,23816183,12.70503599
Senegal,SEN,47.1,45.04752506,192530,9.079531135,3177988,69.44158564,11022821632,2.557495148,11090116,4.786684083
Serbia,SRB,99.69072165,28.31008461,87460,5.621518808,3303149,73.01692414,27683225959,-0.300431133,7440769,26.3
Seychelles,SYC,95.70980835,88.4130395,460,NA,NA,178.3084397,919103254.5,0.463308214,82858,25.41326815
Sierra Leone,SLE,11.33248552,39.12441119,72180,0.944674983,2065742,46.87284139,1650494367,3.820687703,5645624,0.21539161
Singapore,SGP,100,23.73004357,689.0000153,50.25497948,2266575,420.4305129,1.27808E+11,2.350511289,4265762,61
Sint Maarten (Dutch part),SXM,NA,NA,34,NA,NA,NA,NA,1.597004887,33011,NA
Slovak Republic,SVK,100,40.16632017,48100,25.12442108,2661942,148.6793974,62697540107,0.009809134,5372807,55.19
Slovenia,SVN,100,61.71797418,20140,27.74233301,1018972,119.7974805,36346974008,0.173208905,2000474,46.81
Solomon Islands,SLB,19.38389969,80.06430868,27990,-10.07796708,200745,88.67712645,413909879.3,2.451286334,469918,0.844307573
